Word,Freq
,
Admiral,554
The,513
I,428
leagues,263
He,257
island,248
They,217
made,215
would,201
land,191
people,188
saw,176
came,175
night,175
one,168
miles,165
much,162
many,151
de,144
great,143
could,141
said,139
says,138
gold,138
good,130
day,125
found,123
wind,123
sea,121
went,121
two,120
like,119
large,119
go,116
course,114
ship,109
islands,105
port,99
Indians,98
also,97
It,94
river,93
gave,91
see,89
This,88
caravel,87
seen,86
east,86
men,85
might,84
sent,84
shore,84
another,83
well,81
without,78
distance,78
king,78
boat,76
three,74
water,74
called,73
board,73
others,71
At,70
THE,69
come,69
OF,68
th,67
near,67
ordered,65
time,64
west,62
point,61
ships,60
brought,60
coast,59
trees,58
took,57
left,55
In,54
Cabo,54
Las,52
high,52
Sovereigns,52
Highnesses,51
give,51
little,51
hour,50
steered,50
But,50
Castille,50
Casas,50
things,50
Christians,50
cape,50
name,49
must,49
given,49
beautiful,49
may,48
sunrise,46
natives,46
After,46
A,45
small,45
sailors,44
place,44
signs,44
All,44
Puerto,44
sunset,43
afterwards,43
appeared,43
take,42
del,41
There,41
north,41
owing,41
Lord,41
women,41
canoe,41
village,41
As,40
houses,40
man,40
sail,40
Martin,39
fear,39
make,38
days,38
believe,38
entrance,38
thought,37
Pinta,37
say,37
rocks,37
side,37
voyage,36
first,36
God,36
round,36
got,36
Alonso,35
taken,35
return,35
Spain,35
except,35
know,35
far,35
mountains,35
January,35
Saturday,34
never,34
San,34
named,33
south,33
Sunday,33
nothing,33
For,33
Friday,32
Thursday,32
get,32
birds,32
fine,32
six,32
fathoms,32
league,31
Tuesday,31
always,31
knew,31
world,31
When,31
seemed,31
hours,31
anchor,31
December,31
put,30
Monday,30
making,30
On,30
weather,30
country,30
King,29
certain,29
Afterwards,29
Here,29
crew,29
showed,29
bring,29
anchored,29
done,29
February,29
part,28
lands,28
arms,28
Wednesday,28
reached,28
September,28
wanted,28
green,28
arrived,28
These,28
away,28
us,28
Cuba,28
November,28
Columbus,27
four,27
received,27
though,27
returned,27
mouth,27
Espanola,27
half,26
la,26
Santa,26
long,26
soon,26
going,26
told,26
boats,26
beach,26
canoes,26
pieces,26
upon,26
find,25
weed,25
understood,25
clear,25
depth,25
equal,24
order,24
believed,24
although,24
distant,24
ten,24
NATIVES,24
Maria,23
Pinzon,23
even,23
wished,23
leave,23
Spaniards,23
So,23
rivers,23
back,23
better,23
light,23
deep,23
five,23
able,22
among,22
reach,22
end,22
words,22
captain,22
asked,22
whole,22
anything,22
house,22
beads,22
cotton,22
understand,22
eat,22
Indies,21
Nina,21
rest,21
morning,21
began,21
piece,21
reason,21
heaven,21
wish,21
set,21
heard,21
behind,21
whence,21
naked,21
glass,21
within,21
bottom,21
Punta,21
Indian,21
Monte,21
towards,20
mountain,20
several,20
dawn,20
covered,20
fresh,20
along,20
Rio,20
yet,19
remained,19
thing,19
size,19
gone,19
less,19
best,19
head,19
thanks,19
fish,19
language,19
fled,19
bread,19
thousand,19
orders,18
town,18
cross,18
kept,18
direction,18
shaped,18
From,18
calm,18
That,18
hand,18
full,18
sight,18
hands,18
whether,18
air,18
saying,18
seeing,18
Presently,18
quantity,18
according,18
ran,18
yesterday,18
determined,18
different,18
call,18
enter,18
year,17
vessels,17
route,17
work,17
Some,17
way,17
cap,17
Diego,17
counted,17
rain,17
sign,17
necessary,17
Thus,17
October,17
desired,17
honour,17
Tortuga,17
account,16
master,16
shall,16
Portugal,16
run,16
true,16
smooth,16
none,16
close,16
Salvador,16
kinds,16
bore,16
reef,16
mastick,16
wonderful,16
wide,16
company,16
news,16
March,16
departed,15
passed,15
sailed,15
Juan,15
Herrera,15
caravels,15
remain,15
continued,15
respecting,15
nearly,15
met,15
everything,15
During,15
still,15
running,15
show,15
known,15
bay,15
Yesterday,15
Santo,15
parts,14
Chief,14
ing,14
length,14
fell,14
discovered,14
number,14
turned,14
caused,14
pleasure,14
Seville,14
deal,14
appear,14
places,14
See,14
coming,14
shape,14
giving,14
sailor,14
Rodrigo,14
neither,14
exchange,14
hundred,14
twelve,14
beauty,14
speech,14
spices,14
entered,14
Babeque,14
eastward,14
Cacique,14
service,13
thence,13
pilot,13
old,13
vessel,13
Cape,13
times,13
bows,13
rate,13
pleased,13
afternoon,13
eleven,13
Guinea,13
alongside,13
noon,13
Many,13
lost,13
however,13
quarter,13
landed,13
bringing,13
short,13
almost,13
hold,13
sunken,13
carried,13
harbour,13
stones,13
inland,13
cultivated,13
Cristi,13
ever,12
city,12
May,12
resolved,12
danger,12
position,12
Then,12
wood,12
bird,12
herbs,12
therefore,12
leaving,12
killed,12
desire,12
thick,12
placed,12
sighted,12
information,12
last,12
armed,12
letter,12
years,12
depart,12
villages,12
looked,12
let,12
harm,12
worth,12
doubt,12
islet,12
clean,12
Mares,12
weigh,12
valley,12
Cordova,12
navigated,11
Gran,11
Gomera,11
nd,11
else,11
Pedro,11
either,11
reported,11
rather,11
April,11
cause,11
white,11
sun,11
delay,11
search,11
pleasant,11
heavy,11
Cipango,11
look,11
daylight,11
inhabitants,11
force,11
parrots,11
bells,11
fastened,11
presently,11
larger,11
wore,11
fertile,11
winds,11
thus,11
open,11
anchorage,11
need,11
rock,11
low,11
beyond,11
Bohio,11
arrows,11
FROM,10
sleep,10
inhabited,10
used,10
intended,10
sails,10
Azores,10
especially,10
blow,10
adds,10
st,10
keep,10
Lisbon,10
poop,10
watch,10
Letter,10
brother,10
darts,10
cut,10
fair,10
enough,10
flat,10
want,10
ground,10
barter,10
word,10
eight,10
across,10
cold,10
mainland,10
plenty,10
felt,10
yams,10
ought,10
chief,10
opening,10
gulf,10
shown,10
foot,10
reefs,10
Caribs,10
August,9
new,9
Saltes,9
proceeded,9
Canaries,9
formed,9
longer,9
pilots,9
height,9
Hierro,9
Madeira,9
Lib,9
current,9
already,9
counting,9
needle,9
To,9
observed,9
manner,9
middle,9
astonished,9
Toscanelli,9
tion,9
think,9
reckoning,9
held,9
appears,9
midnight,9
mainsail,9
red,9
Their,9
wear,9
ask,9
tree,9
whatever,9
